Actor,Character,SEID
Jerry Seinfeld,Jerry Seinfeld,S01E00
Jason Alexander,George Costanza,S01E00
Michael Richards,Kessler,S01E00
Lee Garlington,Claire,S01E00
Pamela Brull,Laura,S01E00
Jerry Seinfeld,Jerry Seinfeld,S01E01
Jason Alexander,George Costanza,S01E01
Julia Louis-Dreyfus,Elaine Benes,S01E01
Michael Richards,Kramer,S01E01
Lynn Clark,Vanessa,S01E01
Phil Bruns,Morty Seinfeld,S01E01
Liz Sheridan,Helen Seinfeld,S01E01
Maud Winchester,Pamela,S01E01
William Fair,Roger,S01E01
Ron Steelman,Artie Levine,S01E01
Joe George,Uncle Mac,S01E01
Ellen Gerstein,Carol,S01E01
Janet Rotblatt,Woman,S01E01
Jerry Seinfeld,Jerry Seinfeld,S01E02
Jason Alexander,George Costanza,S01E02
Julia Louis-Dreyfus,Elaine Benes,S01E02
Michael Richards,Kramer,S01E02
Anita Wise,Waitress,S01E02
James F. Dean,Larry,S01E02
Kimberley Kates,Diane,S01E02
Bradford English,Cop,S01E02
David Blackwood,Man #1,S01E02
George Simms,Man #2,S01E02
Jerry Seinfeld,Jerry Seinfeld,S01E03
Jason Alexander,George Costanza,S01E03
Julia Louis-Dreyfus,Elaine Benes,S01E03
Michael Richards,Kramer,S01E03
Kevin Dunn,Joel,S01E03
Anita Wise,Waitress,S01E03
Frank Piazza,Customer,S01E03
Kimberley LaMarque,Teller,S01E03
Jerry Seinfeld,Jerry Seinfeld,S01E04
Jason Alexander,George Costanza,S01E04
Julia Louis-Dreyfus,Elaine Benes,S01E04
Michael Richards,Kramer,S01E04
Lynn Clark,Vanessa,S01E04
Ted Davis,Dry Cleaner,S01E04
Jill C. Klein,Waitress,S01E04
Benjamin Lum,Stock Boy,S01E04
Jerry Seinfeld,Jerry Seinfeld,S02E01
Jason Alexander,George Costanza,S02E01
Julia Louis-Dreyfus,Elaine Benes,S02E01
Michael Richards,Kramer,S02E01
Tracy Kolis,Marlene,S02E01
Karen Barcus,Receptionist,S02E01
Jerry Seinfeld,Jerry Seinfeld,S02E02
Jason Alexander,George Costanza,S02E02
Julia Louis-Dreyfus,Elaine Benes,S02E02
Michael Richards,Kramer,S02E02
Rozsika Halmos,Manya,S02E02
David Fresco,Isaac,S02E02
Scott N. Stevens,Intern,S02E02
Earl Boen,Eulogist,S02E02
Liz Sheridan,Helen Seinfeld,S02E02
Morty Seinfeld,Barney Martin,S02E02
Len Lesser,Uncle Leo,S02E02
Jerry Seinfeld,Jerry Seinfeld,S02E03
Jason Alexander,George Costanza,S02E03
Julia Louis-Dreyfus,Elaine Benes,S02E03
Michael Richards,Kramer,S02E03
Lawrence Tierney,Alton Benes,S02E03
Frantz Turner,Salesman,S02E03
Susanne Spoke,Customer,S02E03
Harry Hart-Browne,Manager,S02E03
Jerry Seinfeld,Jerry Seinfeld,S02E04
Jason Alexander,George Costanza,S02E04
Julia Louis-Dreyfus,Elaine Benes,S02E04
Michael Richards,Kramer,S02E04
Tory Polone,Carol,S02E04
Gretchen German,Donn,S02E04
Jerry Seinfeld,Jerry Seinfeld,S02E05
Jason Alexander,George Costanza,S02E05
Julia Louis-Dreyfus,Elaine Benes,S02E05
Michael Richards,Kramer,S02E05
Tony Plana,Manny,S02E05
Glenn Shadix,Harold,S02E05
Jeanine Jackson,Roxanne,S02E05
Leslie Neale,Rita,S02E05
Theresa Randle,Janice,S02E05
Patricia Amaye Thomson,Susie,S02E05
Melody Ryane,Joanne,S02E05
David Blackwood,Stan,S02E05
Jerry Seinfeld,Jerry Seinfeld,S02E06
Jason Alexander,George Costanza,S02E06
Julia Louis-Dreyfus,Elaine Benes,S02E06
Michael Richards,Kramer,S02E06
Michael D. Conway,Ray,S02E06
Nurit Koppel,Rava,S02E06
Jerry Seinfeld,Jerry Seinfeld,S02E07
Jason Alexander,George Costanza,S02E07
Julia Louis-Dreyfus,Elaine Benes,S02E07
Michael Richards,Kramer,S02E07
Fred Applegate,Levitan,S02E07
John Capodice,Vic,S02E07
Teri Austin,Ava,S02E07
Patrika Darbo,Glenda,S02E07
Marcus Smythe,Dan,S02E07
John Hillner,Greeny,S02E07
Deck McKenzie,Bill,S02E07
Larry David,Voice of Newman (uncredited),S02E07
Newman,(uncredited voice only in syndicated reruns (see note),S02E07
Jerry Seinfeld,Jerry Seinfeld,S02E08
Jason Alexander,George Costanza,S02E08
Julia Louis-Dreyfus,Elaine Benes,S02E08
Michael Richards,Kramer,S02E08
Stephen Tobolowsky,Tor,S02E08
John Posey,Dr Fein,S02E08
John Fleck,Attendant,S02E08
Jimmy Woodward,Driver,S02E08
Pat Hazell,Man in Other Bed,S02E08
Sharon McKnight,The Nurse,S02E08
Thomas Wagner,The Cook,S02E08
Heather James,The Waitress,S02E08
Jerry Seinfeld,Jerry Seinfeld,S02E09
Jason Alexander,George Costanza,S02E09
Julia Louis-Dreyfus,Elaine Benes,S02E09
Michael Richards,Kramer,S02E09
Siobhan Fallon,Tina,S02E09
Norman Brenner,Clerk,S02E09
Jerry Seinfeld,Jerry Seinfeld,S02E10
Jason Alexander,George Costanza,S02E10
Julia Louis-Dreyfus,Elaine Benes,S02E10
Michael Richards,Kramer,S02E10
Christine Dunford,Leslie,S02E10
Vic Polizos,Tabachnik,S02E10
James Lashly,Assistant,S02E10
Margaret Reed,Mary,S02E10
George C. Simms,FBI Man,S02E10
Marla Fries,Stewardess,S02E10
Don Perry,Passenger,S02E10
Kate Mulligan,Party Guest,S02E10
Audrey Frantz,Party Guest,S02E10
Jerry Seinfeld,Jerry Seinfeld,S02E11
Jason Alexander,George Costanza,S02E11
Julia Louis-Dreyfus,Elaine Benes,S02E11
James Hong,Bruce,S02E11
David Tress,Mr Cohen,S02E11
Judy Kain,Lorraine,S02E11
Kate Benton,Woman on Phone,S02E11
Michael Mitz,Phone Guy,S02E11
Kendall McCarthy,Man,S02E11
Jerry Seinfeld,Jerry Seinfeld,S02E12
Jason Alexander,George Costanza,S02E12
Julia Louis-Dreyfus,Elaine Benes,S02E12
Michael Richards,CKramer,S02E12
David Labiosa,Antonio,S02E12
Doug Ballard,Eddie,S02E12
John Del Regno,Manager,S02E12
Jerry Seinfeld,Jerry Seinfeld,S03E01
Jason Alexander,George Costanza,S03E01
Julia Louis-Dreyfus,Elaine Benes,S03E01
Michael Richards,Cosmo Kramer,S03E01
Ralph Bruneau,Lloyd,S03E01
