AirDate,Director,Episode,SEID,Season,Title
"July 5, 1989",Art Wolff,1,S01E00,1,"Good News, Bad News"
"May 31, 1990",Tom Cherones,1,S01E01,1,The Stakeout
"June 7, 1990",Tom Cherones,2,S01E02,1,The Robbery
"June 14, 1990",Tom Cherones,3,S01E03,1,Male Unbonding
"June 21, 1990",Tom Cherones,4,S01E04,1,The Stock Tip
"January 16, 1991",Tom Cherones,1,S02E01,2,The Ex-Girlfriend
"January 30, 1991",Tom Cherones,2,S02E02,2,The Pony Remark
"February 6, 1991",Tom Cherones,3,S02E03,2,The Jacket
"February 13, 1991",Tom Cherones,4,S02E04,2,The Phone Message
"April 4, 1991",Tom Cherones,5,S02E05,2,The Apartment
"April 11, 1991",Tom Cherones,6,S02E06,2,The Statue
"April 18, 1991",Tom Cherones,7,S02E07,2,The Revenge
"April 25, 1991",Tom Cherones,8,S02E08,2,The Heart Attack
"May 2, 1991",Tom Cherones,9,S02E09,2,The Deal
"May 16, 1991",Tom Cherones,10,S02E10,2,The Baby Shower
"May 23, 1991",Tom Cherones,11,S02E11,2,The Chinese Restaurant
"June 26, 1991",Tom Cherones,12,S02E12,2,The Busboy
"September 18, 1991",Tom Cherones,1,S03E01,3,The Note
"September 25, 1991",David Steinberg,2,S03E02,3,The Truth
"October 2, 1991",Tom Cherones,3,S03E03,3,The Pen
"October 9, 1991",Tom Cherones,4,S03E04,3,The Dog
"October 16, 1991",Joshua White,5,S03E05,3,The Library
"October 30, 1991",Tom Cherones,6,S03E06,3,The Parking Garage
"November 6, 1991",Tom Cherones,7,S03E07,3,The Cafe
"November 13, 1991",David Steinberg,8,S03E08,3,The Tape
"November 20, 1991",Tom Cherones,9,S03E09,3,The Nose Job
"November 27, 1991",Tom Cherones,10,S03E10,3,The Stranded
"December 4, 1991",Tom Cherones,11,S03E11,3,The Alternate Side
"December 11, 1991",Tom Cherones,12,S03E12,3,The Red Dot
"January 8, 1992",Tom Cherones,13,S03E13,3,The Subway
"January 15, 1992",Tom Cherones,14,S03E14,3,The Pez Dispenser
"January 29, 1992",Tom Cherones,15,S03E15,3,The Suicide
"February 5, 1992",Tom Cherones,16,S03E16,3,The Fix-Up
"February 12, 1992",Tom Cherones,17,S03E17,3,The Boyfriend (1)
"February 12, 1992",Tom Cherones,18,S03E18,3,The Boyfriend (2)
"February 26, 1992",Tom Cherones,19,S03E19,3,The Limo
"March 4, 1992",Jason Alexander,20,S03E20,3,The Good Samaritan
"March 25, 1992",Tom Cherones,21,S03E21,3,The Letter
"April 22, 1992",Tom Cherones,22,S03E22,3,The Parking Space
"May 6, 1992",Tom Cherones,23,S03E23,3,The Keys
"August 12, 1992",Tom Cherones,1,S04E01,4,The Trip (1)
"August 19, 1992",Tom Cherones,2,S04E02,4,The Trip (2)
"September 16, 1992",Tom Cherones,3,S04E03,4,The Pitch
"September 16, 1992",Tom Cherones,4,S04E04,4,The Ticket
"September 23, 1992",Tom Cherones,5,S04E05,4,The Wallet (1)
"September 30, 1992",Tom Cherones,6,S04E06,4,The Watch (2)
"October 7, 1992",Tom Cherones,7,S04E07,4,The Bubble Boy
"October 28, 1992",Tom Cherones,8,S04E08,4,The Cheever Letters
"November 4, 1992",Tom Cherones,9,S04E09,4,The Opera
"November 11, 1992",Tom Cherones,10,S04E10,4,The Virgin
"November 18, 1992",Tom Cherones,11,S04E11,4,The Contest
"November 25, 1992",Tom Cherones,12,S04E12,4,The Airport
"December 16, 1992",Tom Cherones,13,S04E13,4,The Pick
"January 6, 1993",Tom Cherones,14,S04E14,4,The Movie
"January 27, 1993",Tom Cherones,15,S04E15,4,The Visa
"February 4, 1993",Tom Cherones,16,S04E16,4,The Shoes
"February 11, 1993",Tom Cherones,17,S04E17,4,The Outing
"February 18, 1993",Tom Cherones,18,S04E18,4,The Old Man
"February 25, 1993",Tom Cherones,19,S04E19,4,The Implant
"March 18, 1993",Tom Cherones,20,S04E20,4,The Junior Mint
"April 15, 1993",Tom Cherones,21,S04E21,4,The Smelly Car
"May 13, 1993",Tom Cherones,22,S04E22,4,The Handicap Spot
"May 20, 1993",Tom Cherones,23,S04E23,4,The Pilot (1)
"May 20, 1993",Tom Cherones,24,S04E24,4,The Pilot (2)
"September 16, 1993",Tom Cherones,1,S05E01,5,The Mango
"September 23, 1993",Tom Cherones,2,S05E02,5,The Puffy Shirt
"September 30, 1993",Tom Cherones,3,S05E03,5,The Glasses
"October 7, 1993",Tom Cherones,4,S05E04,5,The Sniffing Accountant
"October 14, 1993",Tom Cherones,5,S05E05,5,The Bris
"October 28, 1993",Tom Cherones,6,S05E06,5,The Lip Reader
"November 4, 1993",Tom Cherones,7,S05E07,5,The Non-Fat Yogurt
"November 11, 1993",Tom Cherones,8,S05E08,5,The Barber
"November 18, 1993",Tom Cherones,9,S05E09,5,The Masseuse
"December 9, 1993",Tom Cherones,10,S05E10,5,The Cigar Store Indian
"December 16, 1993",Tom Cherones,11,S05E11,5,The Conversion
"January 6, 1994",Tom Cherones,12,S05E12,5,The Stall
"February 3, 1994",Tom Cherones,13,S05E13,5,The Dinner Party
"February 10, 1994",Tom Cherones,14,S05E14,5,The Marine Biologist
"February 17, 1994",Tom Cherones,15,S05E15,5,The Pie
"February 24, 1994",Tom Cherones,16,S05E16,5,The Stand-In
"March 17, 1994",Tom Cherones,17,S05E17,5,The Wife
April 28 1994,Tom Cherones,18,S05E18,5,The Raincoats
"May 5, 1994",Tom Cherones,20,S05E20,5,The Fire
"May 12, 1994",Tom Cherones,21,S05E21,5,The Hamptons
"May 19, 1994",Tom Cherones,22,S05E22,5,The Opposite
"September 22, 1994",Andy Ackerman,1,S06E01,6,The Chaperone
"September 29, 1994",Andy Ackerman,2,S06E02,6,The Big Salad
"October 6, 1994",Andy Ackerman,3,S06E03,6,The Pledge Drive
"October 13, 1994",Andy Ackerman,4,S06E04,6,The Chinese Woman
"October 27, 1994",Andy Ackerman,5,S06E05,6,The Couch
"November 3, 1994",Andy Ackerman,6,S06E06,6,The Gymnast
"November 10, 1994",Andy Ackerman,7,S06E07,6,The Soup
"November 17, 1994",Andy Ackerman,8,S06E08,6,The Mom &amp; Pop Store
"December 8, 1994",David Owen Trainor,9,S06E09,6,The Secretary
"December 15, 1994",Andy Ackerman,10,S06E10,6,The Race
"January 5, 1995",Andy Ackerman,11,S06E11,6,The Switch
"January 19, 1995",Andy Ackerman,12,S06E12,6,The Label Maker
"January 26, 1995",Andy Ackerman,13,S06E13,6,The Scofflaw
"February 9, 1995",Andy Ackerman,16,S06E16,6,The Beard
"February 16, 1995",Andy Ackerman,17,S06E17,6,The Kiss Hello
"February 23, 1995",Andy Ackerman,18,S06E18,6,The Doorman
"March 16, 1995",Andy Ackerman,19,S06E19,6,The Jimmy
"April 6, 1995",Andy Ackerman,20,S06E20,6,The Doodle
"April 27, 1995",Andy Ackerman,21,S06E21,6,The Fusilli Jerry
"May 4, 1995",Andy Ackerman,22,S06E22,6,The Diplomat's Club
"May 11, 1995",Andy Ackerman,23,S06E23,6,The Face Painter
"May 18, 1995",Andy Ackerman,24,S06E24,6,The Understudy
"September 21, 1995",Andy Ackerman,1,S07E01,7,The Engagement
"September 28, 1995",Andy Ackerman,2,S07E02,7,The Postponement
"October 5, 1995",Andy Ackerman,3,S07E03,7,The Maestro
"October 12, 1995",Andy Ackerman,4,S07E04,7,The Wink
"October 19, 1995",Andy Ackerman,5,S07E05,7,The Hot Tub
"November 2, 1995",Andy Ackerman,6,S07E06,7,The Soup Nazi
"November 9, 1995",Andy Ackerman,7,S07E07,7,The Secret Code
"November 16, 1995",Andy Ackerman,8,S07E08,7,The Pool Guy
"December 7, 1995",Andy Ackerman,9,S07E09,7,The Sponge
"December 14, 1995",Andy Ackerman,10,S07E10,7,The Gum
"January 4, 1996",Andy Ackerman,11,S07E11,7,The Rye
"January 25, 1996",Andy Ackerman,12,S07E12,7,The Caddy
"February 1, 1996",Andy Ackerman,13,S07E13,7,The Seven
"February 8, 1996",Andy Ackerman,14,S07E14,7,The Cadillac (1)
"February 8, 1996",Andy Ackerman,15,S07E15,7,The Cadillac (2)
"February 15, 1996",Andy Ackerman,16,S07E16,7,The Shower Head
"February 22, 1996",Andy Ackerman,17,S07E17,7,The Doll
"March 7, 1996",Andy Ackerman,18,S07E18,7,The Friars Club (a.k.a. The Gypsies)
"April 4, 1996",Andy Ackerman,19,S07E19,7,The Wig Master
"April 25, 1996",Andy Ackerman,20,S07E20,7,The Calzone
"May 2, 1996",Andy Ackerman,21,S07E21,7,The Bottle Deposit (1)
"May 2, 1996",Andy Ackerman,22,S07E22,7,The Bottle Deposit (2)
"May 9, 1996",Andy Ackerman,23,S07E23,7,The Wait Out
"May 16, 1996",Andy Ackerman,24,S07E24,7,The Invitations
"September 19, 1996",Andy Ackerman,1,S08E01,8,The Foundation
"September 26, 1996",Andy Ackerman,2,S08E02,8,The Soul Mate
"October 3, 1996",Andy Ackerman,3,S08E03,8,The Bizarro Jerry
"October 10, 1996",Andy Ackerman,4,S08E04,8,The Little Kicks
"October 17, 1996",Andy Ackerman,5,S08E05,8,The Package
"October 31, 1996",Andy Ackerman,6,S08E06,8,The Fatigues
"November 7, 1996",Andy Ackerman,7,S08E07,8,The Checks
"November 14, 1996",Andy Ackerman,8,S08E08,8,The Chicken Roaster
"November 21, 1996",Andy Ackerman,9,S08E09,8,The Abstinence
"December 19, 1996",Andy Ackerman,10,S08E10,8,The Andrea Doria
"January 9, 1997",Andy Ackerman,11,S08E11,8,The Little Jerry
"January 16, 1997",Andy Ackerman,12,S08E12,8,The Money
"January 30, 1997",David Owen Trainor,13,S08E13,8,The Comeback
"February 6, 1997",Andy Ackerman,14,S08E14,8,The Van Buren Boys
